Config:
grid_dim: 100
num_steps: 1000
wolf_prob: 0.003000
rabbit_prob: 0.030000
grass_prob: 0.100000
gif_file: (null)

Step,Rabbits,Wolfs,Grass
0,308,26,1027
1,305,26,1292
2,299,26,1527
3,296,26,1759
4,287,26,2008
5,278,26,2254
6,274,26,2474
7,268,26,2711
8,262,26,2952
9,259,26,3186
10,252,26,3424
11,240,26,3653
12,235,26,3897
13,250,26,4135
14,245,26,4369
15,258,26,4599
16,254,27,4789
17,270,27,4954
18,280,28,5097
19,292,28,5199
20,302,28,5292
21,314,29,5372
22,327,29,5436
23,346,29,5484
24,371,32,5488
25,379,33,5499
26,398,37,5496
27,409,37,5435
28,432,37,5385
29,457,37,5353
30,470,38,5291
31,492,39,5227
32,509,40,5154
33,527,42,5088
34,538,44,4976
35,540,44,4886
36,556,44,4814
37,569,44,4724
38,570,44,4592
39,579,43,4464
40,581,44,4381
41,582,45,4295
42,600,47,4188
43,600,49,4079
44,597,49,3975
45,589,50,3916
46,572,53,3827
47,575,53,3739
48,569,56,3664
49,551,57,3577
50,536,60,3502
51,512,61,3448
52,500,61,3395
53,481,63,3347
54,462,65,3298
55,445,65,3285
56,416,66,3271
57,395,67,3298
58,376,68,3333
59,354,70,3352
60,339,70,3371
61,323,73,3396
62,309,73,3457
63,281,75,3545
64,256,74,3634
65,235,78,3722
66,213,83,3808
67,201,85,3871
68,176,86,3959
69,171,86,4033
70,163,89,4113
71,153,90,4193
72,146,91,4328
73,139,94,4419
74,134,94,4500
75,133,94,4577
76,131,94,4703
77,127,94,4775
78,130,94,4862
79,133,93,4944
80,139,94,5002
81,137,94,5067
82,132,95,5150
83,135,96,5233
84,135,97,5314
85,140,98,5402
86,137,99,5457
87,137,95,5552
88,136,95,5653
89,135,95,5759
90,138,96,5841
91,141,96,5915
92,143,96,6005
93,139,96,6078
94,135,95,6177
95,142,92,6298
96,143,91,6388
97,142,88,6480
98,134,86,6601
99,135,86,6687
100,134,84,6775
101,138,84,6865
102,133,83,6939
103,128,77,6998
104,130,75,7108
105,127,71,7207
106,125,71,7301
107,113,72,7390
108,109,70,7480
109,108,70,7544
110,100,71,7588
111,98,67,7664
112,93,66,7725
113,91,62,7812
114,89,60,7892
115,86,61,7941
116,82,59,8001
117,82,56,8097
118,85,53,8142
119,87,51,8215
120,88,50,8267
121,86,49,8315
122,92,48,8342
123,96,49,8394
124,105,50,8453
125,103,49,8468
126,105,49,8497
127,101,46,8543
128,99,46,8567
129,102,45,8554
130,100,45,8559
131,101,45,8551
132,101,45,8566
133,102,45,8557
134,98,44,8550
135,98,44,8549
136,102,44,8549
137,104,44,8539
138,107,44,8555
139,110,44,8548
140,106,43,8558
141,103,42,8560
142,106,43,8544
143,102,43,8533
144,106,44,8556
145,103,42,8564
146,100,41,8563
147,105,41,8562
148,105,41,8552
149,105,40,8544
150,101,39,8556
151,101,39,8552
152,102,37,8559
153,100,36,8548
154,100,36,8557
155,98,34,8563
156,95,34,8560
157,93,34,8548
158,92,33,8553
159,92,33,8558
160,89,34,8563
161,90,35,8549
162,91,36,8549
163,89,36,8539
164,86,36,8530
165,84,36,8526
166,82,36,8535
167,80,34,8523
168,79,35,8528
169,74,36,8529
170,68,36,8533
171,68,36,8533
172,66,36,8524
173,67,35,8519
174,64,35,8527
175,65,34,8543
176,63,32,8556
177,62,32,8567
178,62,32,8576
179,60,32,8594
180,60,33,8595
181,60,33,8602
182,56,32,8604
183,56,30,8616
184,53,29,8634
185,54,29,8657
186,53,30,8682
187,53,30,8697
188,54,29,8713
189,52,29,8738
190,50,27,8761
191,51,28,8788
192,48,27,8801
193,49,26,8820
194,51,24,8838
195,51,24,8876
196,49,25,8898
197,52,25,8933
198,51,25,8961
199,49,26,8967
200,49,26,8997
201,51,25,9031
202,55,26,9062
203,53,26,9074
204,55,26,9104
205,55,26,9112
206,57,25,9109
207,62,25,9115
208,67,25,9143
209,68,25,9174
210,69,25,9194
211,75,25,9213
212,78,24,9227
213,82,24,9240
214,82,24,9253
215,87,24,9265
216,91,25,9254
217,92,25,9273
218,101,25,9272
219,106,24,9263
220,109,24,9250
221,111,23,9231
222,117,23,9220
223,123,22,9222
224,122,23,9213
225,129,24,9192
226,131,24,9170
227,138,24,9154
228,141,24,9118
229,140,24,9087
230,147,24,9057
231,153,25,9028
232,155,25,8993
233,157,23,8982
234,158,23,8985
235,156,24,8946
236,159,23,8917
237,161,24,8886
238,164,24,8851
239,161,25,8816
240,159,26,8766
241,162,28,8734
242,162,28,8681
243,164,28,8627
244,166,28,8602
245,167,29,8578
246,166,30,8540
247,172,30,8512
248,176,30,8461
249,179,32,8436
250,176,31,8376
251,173,31,8353
252,180,31,8310
253,180,32,8268
254,182,33,8248
255,185,33,8195
256,179,36,8144
257,181,37,8101
258,185,38,8047
259,183,38,7991
260,184,39,7937
261,180,40,7894
262,178,41,7878
263,183,43,7853
264,181,43,7821
265,178,44,7806
266,182,44,7808
267,185,43,7787
268,185,43,7777
269,188,43,7786
270,188,43,7745
271,192,43,7738
272,195,46,7704
273,202,47,7677
274,203,49,7680
275,198,51,7655
276,201,52,7651
277,202,53,7649
278,198,57,7625
279,201,57,7613
280,201,59,7581
281,202,59,7561
282,197,60,7545
283,190,61,7543
284,186,60,7545
285,186,60,7535
286,191,60,7544
287,189,61,7542
288,185,62,7517
289,188,63,7494
290,190,67,7484
291,196,68,7454
292,192,68,7432
293,191,68,7407
294,186,68,7383
295,193,68,7366
296,195,67,7347
297,192,67,7345
298,193,68,7326
299,185,68,7327
300,185,70,7321
301,186,69,7308
302,182,70,7339
303,176,71,7339
304,175,70,7325
305,166,70,7316
306,164,71,7307
307,158,71,7291
308,157,71,7297
309,151,71,7298
310,150,70,7275
311,158,69,7282
312,152,69,7265
313,153,67,7231
314,153,66,7223
315,150,67,7212
316,156,67,7224
317,149,67,7237
318,144,67,7245
319,136,68,7259
320,138,67,7246
321,145,67,7257
322,139,68,7273
323,135,67,7300
324,130,67,7306
325,128,68,7352
326,124,66,7411
327,113,62,7452
328,113,61,7485
329,104,61,7502
330,97,60,7537
331,93,59,7583
332,85,61,7617
333,83,61,7636
334,79,58,7680
335,73,55,7714
336,71,53,7748
337,70,52,7785
338,66,52,7826
339,61,53,7853
340,55,52,7909
341,51,48,7935
342,48,46,7973
343,51,43,7997
344,48,42,8034
345,50,41,8067
346,54,40,8092
347,52,40,8138
348,60,40,8160
349,63,40,8177
350,65,39,8232
351,67,38,8256
352,68,36,8285
353,73,36,8309
354,78,36,8342
355,80,35,8373
356,84,34,8386
357,87,33,8391
358,91,33,8408
359,95,33,8413
360,100,33,8438
361,104,30,8426
362,106,30,8457
363,111,28,8500
364,116,28,8507
365,118,28,8527
366,120,31,8539
367,124,29,8546
368,134,29,8551
369,139,28,8580
370,142,26,8571
371,143,26,8582
372,148,26,8590
373,156,27,8618
374,158,28,8607
375,158,28,8607
376,159,28,8620
377,158,27,8609
378,165,26,8593
379,158,24,8572
380,155,24,8557
381,158,24,8544
382,158,23,8513
383,160,22,8503
384,158,22,8464
385,157,22,8437
386,161,23,8405
387,162,23,8376
388,158,22,8352
389,160,22,8319
390,157,22,8291
391,157,23,8243
392,154,24,8207
393,157,24,8177
394,163,24,8146
395,158,24,8125
396,162,23,8098
397,165,23,8071
398,162,23,8037
399,168,25,8002
400,165,26,7975
401,170,27,7937
402,172,27,7909
403,169,26,7875
404,173,26,7831
405,171,26,7802
406,179,26,7761
407,187,27,7715
408,193,27,7668
409,204,27,7642
410,203,27,7608
411,201,28,7591
412,202,30,7542
413,205,29,7512
414,214,29,7488
415,212,30,7436
416,213,31,7392
417,217,31,7383
418,218,32,7350
419,226,33,7337
420,219,33,7323
421,216,33,7327
422,217,34,7300
423,215,35,7276
424,230,34,7256
425,226,34,7234
426,223,34,7190
427,224,35,7195
428,224,36,7163
429,245,35,7121
430,254,36,7085
431,255,36,7047
432,252,37,7015
433,244,42,7004
434,268,45,6970
435,267,45,6930
436,257,46,6899
437,261,46,6884
438,248,47,6842
439,257,46,6811
440,260,47,6800
441,268,48,6790
442,261,48,6765
443,256,48,6757
444,253,49,6749
445,263,49,6739
446,272,50,6710
447,270,50,6668
448,255,53,6653
449,264,53,6619
450,275,53,6631
451,278,56,6624
452,273,57,6597
453,270,58,6570
454,272,58,6525
455,280,60,6463
456,275,62,6421
457,277,63,6401
458,285,65,6356
459,281,67,6297
460,272,66,6258
461,276,66,6243
462,286,66,6205
463,287,67,6167
464,288,68,6142
465,289,68,6137
466,286,69,6129
467,292,71,6136
468,292,72,6135
469,284,73,6136
470,275,73,6140
471,270,73,6144
472,274,74,6141
473,270,75,6129
474,257,76,6138
475,246,76,6118
476,243,78,6135
477,249,75,6146
478,239,77,6138
479,224,79,6132
480,217,79,6142
481,213,79,6152
482,212,80,6167
483,204,78,6187
484,194,79,6212
485,180,79,6237
486,169,80,6257
487,170,80,6312
488,164,81,6328
489,164,81,6365
490,156,80,6377
491,148,81,6416
492,145,80,6437
493,138,80,6467
494,130,79,6501
495,129,79,6519
496,125,76,6558
497,120,75,6589
498,118,75,6631
499,104,76,6697
500,100,77,6742
501,98,77,6768
502,94,78,6818
503,92,75,6861
504,90,74,6931
505,84,73,7002
506,79,72,7052
507,74,72,7107
508,72,72,7155
509,73,71,7232
510,73,68,7292
511,69,66,7329
512,66,65,7350
513,68,63,7407
514,60,65,7450
515,55,63,7500
516,52,63,7557
517,48,61,7606
518,46,59,7661
519,45,58,7705
520,45,55,7760
521,43,54,7813
522,38,53,7861
523,40,51,7921
524,39,51,7973
525,34,50,8028
526,37,48,8068
527,39,48,8105
528,39,48,8159
529,41,46,8204
530,40,45,8261
531,40,43,8306
532,41,43,8351
533,44,41,8397
534,47,40,8437
535,49,37,8475
536,52,36,8522
537,50,36,8554
538,52,33,8600
539,54,32,8620
540,58,32,8622
541,61,32,8641
542,61,30,8660
543,64,29,8680
544,69,29,8695
545,76,29,8697
546,81,28,8712
547,90,26,8727
548,93,26,8713
549,93,26,8712
550,100,25,8695
551,102,23,8672
552,108,23,8649
553,114,23,8620
554,119,22,8617
555,124,21,8579
556,129,22,8562
557,134,24,8563
558,141,24,8542
559,146,22,8517
560,152,21,8497
561,153,19,8479
562,155,18,8464
563,162,18,8442
564,162,18,8423
565,160,18,8393
566,165,18,8357
567,166,17,8325
568,170,16,8308
569,171,14,8286
570,167,14,8282
571,167,14,8261
572,162,14,8240
573,160,14,8210
574,162,15,8177
575,159,16,8120
576,162,16,8077
577,156,15,8048
578,157,15,8010
579,160,16,7963
580,154,15,7916
581,151,15,7871
582,151,15,7825
583,148,15,7807
584,156,14,7767
585,150,13,7722
586,150,13,7676
587,152,13,7633
588,150,13,7592
589,156,13,7554
590,152,14,7518
591,150,13,7462
592,149,13,7410
593,148,13,7362
594,157,13,7298
595,151,14,7244
596,151,13,7189
597,154,14,7139
598,158,14,7102
599,164,14,7050
600,169,14,7007
601,167,14,6950
602,164,13,6901
603,167,13,6856
604,173,14,6806
605,172,14,6751
606,170,15,6711
607,173,15,6649
608,180,15,6588
609,182,14,6528
610,179,14,6498
611,179,14,6467
612,182,14,6430
613,180,15,6387
614,182,15,6341
615,182,15,6304
616,183,15,6263
617,182,14,6216
618,186,14,6158
619,189,14,6114
620,192,13,6075
621,191,14,6028
622,197,14,5982
623,200,15,5957
624,207,15,5926
625,206,15,5878
626,204,15,5840
627,211,15,5809
628,214,15,5804
629,217,16,5771
630,223,16,5744
631,222,16,5706
632,218,16,5669
633,216,16,5643
634,217,16,5598
635,224,15,5570
636,229,15,5527
637,227,15,5479
638,237,14,5451
639,242,14,5420
640,250,14,5377
641,254,15,5352
642,258,15,5313
643,262,15,5271
644,270,16,5215
645,268,14,5174
646,281,14,5119
647,280,14,5084
648,282,14,5026
649,290,15,4974
650,287,15,4932
651,299,15,4891
652,300,15,4855
653,310,15,4804
654,318,17,4748
655,321,17,4690
656,337,18,4626
657,335,18,4564
658,341,18,4499
659,345,18,4470
660,346,17,4435
661,354,18,4367
662,352,19,4325
663,355,19,4296
664,362,20,4266
665,353,20,4254
666,352,20,4238
667,347,20,4190
668,351,21,4127
669,363,22,4089
670,367,22,4030
671,364,23,3971
672,362,24,3917
673,360,24,3883
674,361,23,3859
675,357,23,3872
676,355,24,3870
677,348,25,3826
678,343,24,3823
679,339,24,3810
680,337,25,3819
681,328,25,3801
682,319,26,3817
683,312,27,3824
684,310,29,3866
685,302,29,3921
686,302,29,3923
687,295,29,3976
688,294,29,4009
689,275,29,4049
690,271,29,4089
691,262,29,4107
692,252,29,4148
693,242,28,4151
694,237,28,4158
695,229,28,4172
696,232,28,4179
697,237,28,4176
698,232,28,4206
699,230,26,4236
700,229,25,4248
701,221,25,4245
702,216,25,4250
703,209,26,4266
704,210,26,4302
705,207,28,4300
706,208,28,4315
707,207,27,4333
708,208,26,4360
709,212,23,4375
710,210,23,4407
711,211,24,4425
712,208,24,4431
713,206,24,4446
714,210,23,4445
715,209,22,4466
716,208,22,4497
717,213,22,4496
718,216,23,4536
719,216,23,4574
720,217,21,4599
721,212,20,4629
722,216,20,4646
723,214,19,4691
724,215,18,4716
725,217,18,4755
726,208,17,4797
727,207,15,4826
728,211,15,4865
729,206,15,4910
730,209,16,4951
731,207,17,5002
732,205,18,5031
733,204,18,5097
734,203,18,5143
735,205,18,5187
736,207,18,5214
737,205,18,5223
738,205,18,5254
739,206,19,5295
740,209,19,5303
741,206,18,5327
742,211,18,5342
743,210,18,5361
744,209,18,5393
745,217,18,5399
746,222,18,5410
747,221,20,5415
748,220,21,5400
749,222,21,5405
750,229,22,5392
751,235,22,5406
752,239,23,5407
753,243,23,5427
754,242,24,5414
755,243,24,5418
756,251,24,5415
757,255,24,5406
758,251,24,5376
759,256,24,5379
760,258,23,5385
761,251,24,5378
762,266,24,5368
763,262,24,5339
764,265,23,5334
765,266,24,5305
766,274,24,5281
767,282,25,5247
768,280,26,5227
769,280,26,5215
770,277,26,5189
771,283,25,5182
772,300,25,5153
773,306,25,5117
774,303,27,5090
775,309,27,5054
776,311,27,5018
777,319,27,4975
778,324,27,4926
779,329,26,4903
780,326,26,4872
781,328,26,4854
782,333,26,4835
783,336,25,4802
784,336,25,4780
785,330,25,4763
786,324,25,4752
787,324,25,4735
788,326,25,4720
789,319,25,4724
790,317,25,4706
791,307,25,4679
792,299,25,4667
793,299,25,4632
794,290,26,4595
795,285,26,4559
796,274,26,4541
797,267,26,4515
798,257,25,4485
799,247,25,4438
800,248,25,4413
801,244,24,4376
802,239,24,4348
803,235,25,4355
804,238,24,4339
805,240,23,4327
806,236,23,4340
807,239,23,4334
808,239,23,4353
809,239,23,4369
810,245,22,4367
811,238,23,4364
812,241,22,4381
813,243,22,4385
814,243,21,4391
815,242,22,4398
816,244,22,4403
817,249,22,4415
818,244,21,4427
819,242,21,4427
820,239,21,4440
821,239,21,4458
822,241,21,4465
823,237,22,4471
824,230,21,4491
825,222,21,4516
826,226,21,4536
827,223,22,4534
828,218,21,4535
829,214,20,4573
830,215,19,4609
831,216,20,4630
832,220,20,4656
833,216,19,4648
834,213,18,4661
835,214,18,4672
836,210,17,4688
837,209,16,4663
838,208,16,4642
839,209,15,4663
840,211,15,4662
841,210,16,4664
842,220,15,4666
843,226,15,4676
844,222,17,4692
845,222,18,4725
846,219,19,4759
847,225,19,4771
848,227,19,4791
849,228,20,4801
850,237,20,4798
851,236,20,4817
852,243,22,4812
853,246,22,4818
854,250,22,4803
855,257,22,4799
856,263,23,4799
857,265,23,4777
858,270,24,4794
859,279,25,4811
860,286,26,4804
861,280,26,4800
862,281,28,4775
863,280,29,4777
864,283,29,4785
865,290,29,4778
866,290,29,4769
867,294,30,4759
868,300,31,4731
869,302,31,4719
870,307,30,4699
871,313,30,4700
872,315,30,4676
873,313,30,4646
874,317,30,4612
875,327,30,4613
876,330,32,4611
877,340,33,4539
878,350,34,4499
879,353,35,4442
880,360,35,4392
881,357,35,4346
882,367,35,4301
883,376,37,4254
884,371,38,4219
885,374,39,4185
886,368,40,4170
887,365,39,4174
888,374,41,4152
889,370,42,4156
890,364,41,4163
891,359,42,4172
892,355,42,4181
893,349,42,4175
894,349,43,4139
895,338,44,4105
896,328,44,4099
897,323,46,4096
898,320,47,4116
899,318,48,4139
900,316,50,4160
901,310,50,4153
902,305,50,4153
903,295,50,4171
904,305,50,4200
905,300,50,4247
906,299,50,4272
907,293,49,4306
908,292,50,4325
909,294,51,4378
910,292,52,4412
911,292,52,4450
912,282,52,4493
913,271,53,4548
914,265,53,4591
915,265,54,4672
916,247,54,4749
917,233,56,4798
918,225,55,4834
919,211,55,4877
920,199,57,4939
921,189,60,5007
922,179,60,5078
923,166,60,5153
924,153,60,5231
925,143,59,5313
926,131,59,5385
927,131,58,5476
928,117,58,5567
929,112,61,5663
930,99,62,5761
931,94,62,5877
932,87,63,5984
933,84,64,6108
934,83,65,6217
935,79,65,6323
936,77,64,6407
937,74,64,6487
938,69,62,6579
939,68,57,6673
940,63,56,6776
941,62,55,6879
942,55,54,6971
943,49,54,7074
944,46,54,7175
945,42,54,7285
946,42,53,7379
947,40,53,7458
948,34,52,7562
949,33,52,7642
950,29,51,7726
951,26,50,7786
952,22,50,7843
953,19,48,7909
954,14,46,7976
955,10,47,8065
956,8,46,8139
957,7,45,8213
958,5,44,8286
959,3,41,8349
960,1,38,8425
961,0,36,8523
962,0,36,8603
963,0,34,8666
964,0,33,8710
965,0,31,8779
966,0,31,8826
967,0,31,8878
968,0,29,8941
969,0,29,9000
970,0,27,9057
971,0,26,9114
972,0,25,9151
973,0,24,9196
974,0,24,9239
975,0,24,9275
976,0,21,9320
977,0,20,9357
978,0,20,9421
979,0,19,9455
980,0,18,9490
981,0,16,9518
982,0,15,9546
983,0,15,9579
984,0,15,9618
985,0,15,9655
986,0,15,9685
987,0,13,9701
988,0,10,9733
989,0,10,9750
990,0,10,9767
991,0,9,9793
992,0,9,9816
993,0,7,9849
994,0,6,9867
995,0,6,9881
996,0,6,9894
997,0,6,9908
998,0,6,9914
999,0,4,9923
1000,0,4,9945
