Config:
grid_dim: 100
num_steps: 1000
wolf_prob: 0.003000
rabbit_prob: 0.030000
grass_prob: 0.100000
gif_file: (null)

Step,Rabbits,Wolfs,Grass
0,299,29,1011
1,299,29,1265
2,295,29,1491
3,291,29,1702
4,278,29,1916
5,272,29,2129
6,268,29,2367
7,262,29,2564
8,256,29,2751
9,248,29,2980
10,239,29,3232
11,230,29,3473
12,224,29,3664
13,226,29,3876
14,220,29,4116
15,242,29,4315
16,234,30,4510
17,234,30,4742
18,236,31,4901
19,242,31,5087
20,261,31,5183
21,264,31,5321
22,267,31,5435
23,276,34,5564
24,286,36,5673
25,304,37,5728
26,328,39,5792
27,335,39,5878
28,348,39,5936
29,359,39,5982
30,362,41,6039
31,387,43,6061
32,394,46,6036
33,405,46,6014
34,415,47,5992
35,419,47,5994
36,441,47,5951
37,443,47,5893
38,450,47,5855
39,452,49,5835
40,448,50,5795
41,457,56,5749
42,464,58,5687
43,465,59,5599
44,456,59,5521
45,450,62,5466
46,447,64,5443
47,453,64,5395
48,444,68,5351
49,430,69,5306
50,425,71,5273
51,417,71,5271
52,405,72,5253
53,395,72,5211
54,378,74,5199
55,374,77,5180
56,363,79,5140
57,363,83,5103
58,355,84,5112
59,337,84,5106
60,321,85,5122
61,315,86,5096
62,303,86,5111
63,293,86,5147
64,269,89,5193
65,250,90,5238
66,235,91,5280
67,212,93,5348
68,200,93,5430
69,187,94,5500
70,173,97,5557
71,164,98,5633
72,152,98,5685
73,140,99,5753
74,141,100,5865
75,133,101,5943
76,131,101,6016
77,127,101,6110
78,123,102,6179
79,119,101,6257
80,112,102,6318
81,110,102,6391
82,109,104,6451
83,111,106,6533
84,112,106,6587
85,113,106,6627
86,115,105,6668
87,115,104,6721
88,116,104,6771
89,121,104,6834
90,125,104,6889
91,128,104,6969
92,129,103,6998
93,136,103,7067
94,134,102,7120
95,138,97,7178
96,138,94,7193
97,148,93,7230
98,150,92,7258
99,157,92,7286
100,163,91,7317
101,162,89,7345
102,172,87,7350
103,175,81,7358
104,180,79,7365
105,186,76,7392
106,185,75,7398
107,190,75,7433
108,193,74,7433
109,194,74,7431
110,195,73,7444
111,197,68,7442
112,203,66,7445
113,206,64,7459
114,203,64,7472
115,202,65,7456
116,197,63,7452
117,192,63,7447
118,184,61,7448
119,187,52,7457
120,184,52,7472
121,182,53,7474
122,178,53,7484
123,177,51,7473
124,180,52,7458
125,176,47,7473
126,175,46,7462
127,169,44,7463
128,169,45,7489
129,174,45,7488
130,170,46,7487
131,164,46,7476
132,159,46,7491
133,161,47,7510
134,161,49,7503
135,162,49,7494
136,166,48,7475
137,164,48,7490
138,166,49,7491
139,171,49,7497
140,167,49,7498
141,170,48,7487
142,169,48,7502
143,174,48,7508
144,178,49,7495
145,172,51,7465
146,175,50,7447
147,176,51,7452
148,175,51,7455
149,174,51,7460
150,171,52,7480
151,172,53,7492
152,163,53,7492
153,157,52,7480
154,155,53,7470
155,154,54,7469
156,152,54,7470
157,146,54,7483
158,141,54,7500
159,134,54,7508
160,126,54,7511
161,122,54,7521
162,119,55,7528
163,117,55,7535
164,116,55,7546
165,120,55,7561
166,114,53,7592
167,107,53,7616
168,103,52,7648
169,99,53,7696
170,98,53,7748
171,96,53,7767
172,91,53,7810
173,89,53,7860
174,86,53,7901
175,85,52,7960
176,80,53,8003
177,77,54,8053
178,72,54,8098
179,70,54,8135
180,72,54,8176
181,68,53,8218
182,63,52,8272
183,61,51,8327
184,54,49,8369
185,54,48,8427
186,55,49,8455
187,52,49,8497
188,51,50,8544
189,49,50,8592
190,46,49,8622
191,45,46,8661
192,45,45,8705
193,43,42,8766
194,42,42,8808
195,41,42,8845
196,47,41,8901
197,48,41,8929
198,50,40,8959
199,57,39,8978
200,60,40,8996
201,64,39,9005
202,64,38,9025
203,67,38,9038
204,69,38,9040
205,71,35,9067
206,72,35,9100
207,74,35,9115
208,78,34,9134
209,80,34,9164
210,80,33,9178
211,83,33,9174
212,92,33,9161
213,91,32,9136
214,93,33,9117
215,96,32,9115
216,98,32,9109
217,109,31,9084
218,114,31,9049
219,119,31,9030
220,124,30,9002
221,127,28,8966
222,133,27,8939
223,138,26,8915
224,143,27,8897
225,149,28,8872
226,153,28,8822
227,155,29,8772
228,162,28,8730
229,161,27,8684
230,166,27,8651
231,165,25,8625
232,166,25,8594
233,176,26,8566
234,179,26,8541
235,179,26,8508
236,183,27,8452
237,189,27,8403
238,198,28,8381
239,200,28,8336
240,205,29,8295
241,205,28,8222
242,208,28,8162
243,223,29,8097
244,234,29,8046
245,245,29,7948
246,262,29,7886
247,267,29,7799
248,285,28,7707
249,302,28,7618
250,314,28,7544
251,325,29,7463
252,334,29,7362
253,347,30,7254
254,352,30,7123
255,365,30,7027
256,373,31,6925
257,379,33,6798
258,386,33,6690
259,407,34,6562
260,411,36,6449
261,426,36,6324
262,430,37,6185
263,430,38,6057
264,449,39,5952
265,457,39,5836
266,458,42,5734
267,453,42,5621
268,452,45,5536
269,459,48,5447
270,460,48,5364
271,462,49,5255
272,453,50,5173
273,452,52,5110
274,445,53,5017
275,445,54,4935
276,441,55,4883
277,429,58,4833
278,420,58,4779
279,407,58,4729
280,387,59,4698
281,380,61,4662
282,371,62,4655
283,358,64,4639
284,333,65,4634
285,312,67,4627
286,296,68,4653
287,277,70,4711
288,266,71,4767
289,254,71,4827
290,239,73,4865
291,231,74,4924
292,214,75,4980
293,206,75,5049
294,191,77,5125
295,181,76,5192
296,177,77,5260
297,174,77,5343
298,166,78,5451
299,153,78,5526
300,148,78,5591
301,148,78,5677
302,147,77,5799
303,144,78,5879
304,139,78,5982
305,135,79,6101
306,131,79,6205
307,134,79,6290
308,138,78,6346
309,132,78,6460
310,130,79,6555
311,133,78,6659
312,135,78,6708
313,133,78,6807
314,127,78,6871
315,124,77,6921
316,124,77,6985
317,122,76,7060
318,116,78,7127
319,114,79,7199
320,109,82,7251
321,102,79,7338
322,100,79,7425
323,92,77,7509
324,89,75,7596
325,81,75,7701
326,72,76,7786
327,72,74,7871
328,68,72,7960
329,65,72,8027
330,62,72,8100
331,62,70,8188
332,65,69,8271
333,66,69,8340
334,65,67,8410
335,64,65,8484
336,66,64,8518
337,69,64,8607
338,72,62,8666
339,68,61,8727
340,69,59,8771
341,69,59,8830
342,75,60,8873
343,82,56,8907
344,84,55,8928
345,86,54,8937
346,83,53,8969
347,87,53,8974
348,94,52,8970
349,94,53,8975
350,92,52,8980
351,91,50,8973
352,95,47,8978
353,99,46,8956
354,103,45,8946
355,101,44,8950
356,102,43,8933
357,101,39,8907
358,105,39,8898
359,109,38,8879
360,105,36,8869
361,106,36,8863
362,107,37,8834
363,113,37,8799
364,112,37,8756
